Question,Subject,Answer,A,B,C,D
কোন শব্দজোড় বিপরীতার্থক নয়?,BANGLA-LANGUAGE,D,অনুলোম-প্রতিলোম,নশ্বর-শাশ্বত,গরিষ্ঠ-লঘিষ্ঠ,হৃষ্ট-পুষ্ট
‘পরশ্ব’ শব্দটির অর্থ কী?,BANGLA-LANGUAGE,A,পরশু,পরের ধন,কোকিল,পার্শ্ববর্তী
বাংলা ভাষায় মৌলিক স্বরধ্বনির সংখ্যা কত?,BANGLA-LANGUAGE,A,৭টি,৯টি,১১টি,১৩টি
বাংলা ভাষায় শব্দ সাধন হয় না নিম্নোক্ত কোন উপায়ে?,BANGLA-LANGUAGE,B,সমাস দ্বারা,লিঙ্গ পরিবর্তন দ্বারা,উপসর্গ যোগে,"ক, খ ও গ তিন উপায়েই হয়"
‘লবণ’ শব্দের বিশেষ্য কোনটি?,BANGLA-LANGUAGE,,নোনতা,লবণাক্ত,লাবণ্য,ললিত
কোনটি বাক্যের বৈশিষ্ট্য নয়?,BANGLA-LANGUAGE,C,যোগ্যতা,আকাঙ্ক্ষা,আসক্তি,আসত্তি
নিচের কোন শব্দটি প্রত্যয়সাধিত?,BANGLA-LANGUAGE,B,প্রলয়,খণ্ডিত,নিঃশ্বাস,অনুপম
‘দ্বৈপায়ন’ শব্দের শুদ্ধ সন্ধিবিচ্ছেদ কোনটি?,BANGLA-LANGUAGE,B,দ্বীপ + আয়ন,দ্বীপ + অয়ন,দ্বিপ + অনট,দ্বীপ + অনট
‘জজ সাহেব’ কোন সমাসের উদাহরণ?,BANGLA-LANGUAGE,B,দ্বিগু,কর্মধারয়,দ্বন্দ্ব,বহুব্রীহি
নিচের কোনটি ধ্বনি-পরিবর্তনের উদাহরণ নয়?,BANGLA-LANGUAGE,A,প্রাতিপদিক,অভিশ্রুতি,অপিনিহিতি,ধ্বনি-বিপর্যয়
সবচেয়ে বেশি চর্যাপদ পাওয়া গেছে কোন কবির?,BANGLA-LITERATURE,D,লুইপা,শবরপা,ভুসুকুপা,কাহ্নপা
বাংলা সাহিত্যের প্রাচীন যুগের নিদর্শন কোনটি?,BANGLA-LITERATURE,B,নিরঞ্জনের রুষ্মা,দোহাকোষ,গুপিচন্দ্রের সন্ন্যাস,ময়নামতির গান
“তাম্বুল রাতুল হইল অধর পরশে।” অর্থ কী?,BANGLA-LITERATURE,A,ঠোঁটের পরশে পান লাল হল,পানের পরশে ঠোঁট লাল হল,অস্তাচলগামী সূর্যের আভায় মুখ রক্তিম দেখা গেল,অস্তাচলগামী সূর্য ও মুখ একই রকম লাল হয়ে গেল
‘হপ্তপয়কর’ কার রচনা?,BANGLA-LITERATURE,A,সৈয়দ আলাওল,জৈনুদ্দিন,দীনবন্ধু মিত্র,অমিয় দেব
মঙ্গলকাব্যের কবি নন কে?,BANGLA-LITERATURE,D,কানাহরি দত্ত,মানিক দত্ত,ভারতচন্দ্র,দাশু রায়
‘সমাচার দর্পণ’ পত্রিকার সম্পাদক ছিলেন-,BANGLA-LITERATURE,A,জন ক্লার্ক মার্শম্যান,জর্জ আব্রাহাম গ্রিয়ার্সন,উইলিয়াম কেরি,ডেভিড হেয়ার
কোনটি ঈশ্বরচন্দ্র বিদ্যাসাগরের আত্মজীবনী?,BANGLA-LITERATURE,B,স্মৃতি কথামালা,আত্মচরিত,আত্মকথা,আমার কথা
রবীন্দ্রনাথ ঠাকুরের পূর্বপুরুষের আদিবসতি কোথায় ছিল?,BANGLA-LITERATURE,,খুলনার দক্ষিণ ডিহি,যশোরের কেশবপুর,ছোটনাগপুর মালভূমি,কুষ্টিয়ার শিলাইদহ
‘তেল নুন লকড়ি’ কার রচিত গ্রন্থ?,BANGLA-LITERATURE,C,প্রবোধচন্দ্র সেন,প্রমথনাথ বিশি,প্রমথ চৌধুরী,প্রদ্যুম্ন মিত্র
বাংলা সাহিত্যে প্রথম সার্থক ট্র্যাজেডি নাটক কোনটি?,BANGLA-LITERATURE,A,কৃষ্ণকুমারী,শর্মিষ্ঠা,সধবার একাদশী,নীলদর্পণ
‘কপালকুণ্ডলা’ কোন প্রকৃতির রচনা?,BANGLA-LITERATURE,A,রোমান্সমূলক উপন্যাস,বিয়োগান্তক নাটক,ঐতিহাসিক উপন্যাস,সামাজিক উপন্যাস
কোনটি রবীন্দ্ররচনার অন্তর্গত নয়?,BANGLA-LITERATURE,B,“কালের যাত্রার ধ্বনি শুনিতে কি পাও?”,“অগ্নিগ্রাসী বিশ্বত্রাসি জাগুক আবার আত্মদান।”,“প্রাণের মানুষ আছে প্রাণে তাই হেরি তায় সকল খানে?”,“কি আঁচল বিছায়েছ বটের মূলে নদীর কূলে।”
দ্রৌপদী কে?,BANGLA-LITERATURE,D,রামায়ণে সীতার সহচরী,মহাভারতে দুর্যোধনের স্ত্রী,রামায়ণে লক্ষ্মণের প্রণয়প্রার্থী নারী,মহাভারতে পাঁচ ভাইয়ের একক স্ত্রী
‘মিলির হাতে স্টেনগান’ গল্পটি কার লেখা?,BANGLA-LITERATURE,A,আখতারুজ্জামান ইলিয়াস,শহীদুল জহির,শওকত ওসমান,শওকত আলী
‘অসমাপ্ত আত্মজীবনী’ কার রচিত গ্রন্থ?,BANGLA-LITERATURE,A,বঙ্গবন্ধু শেখ মুজিবুর রহমান,শেখ হাসিনা,মওলানা আবদুল হামিদ খান ভাসানী,এ. কে. ফজলুল হক
“প্রাণের বান্ধব রে বুড়ি হইলাম তোর কারণে।” গানটির গীতিকার কে?,BANGLA-LITERATURE,C,শাহ আবদুল করিম,রাধারমন,শেখ ওয়াহিদ,কুদ্দুস বয়াতি
‘মাটির ময়না’ চলচ্চিত্রের নির্মাতা কে?,BANGLA-LITERATURE,C,আলমগীর কবির,হুমায়ূন আহমেদ,তারেক মাসুদ,শেখ নিয়ামত আলী
‘হুলিয়া’ কবিতা কার রচনা?,BANGLA-LITERATURE,D,আবুল হাসান,আবুল হোসেন,মহাদেব সাহা,নির্মলেন্দু গুণ
নিচের কোন সাহিত্যিক আততায়ীর হাতে ঢাকায় মৃত্যুবরণ করেন?,BANGLA-LITERATURE,C,আবুল হাসান,হুমায়ুন কবির,সোমেন চন্দ,কল্যাণ মিত্র
নিম্নোক্ত কোন উপন্যাসে বাংলাদেশে মুক্তিযুদ্ধোত্তর সময়ের চিত্র অঙ্কিত হয়েছে?,BANGLA-LITERATURE,B,দেবেশ রায়ের ‘তিস্তাপাড়ের বৃত্তান্ত’,সুনীল গঙ্গোপাধ্যায়ের ‘পূর্ব-পশ্চিম’,শীর্ষেন্দু মুখোপাধ্যায়ের ‘যাও পাখি’,অভিজিৎ সেনের ‘রহুচণ্ডালের হাড়’
Cricket enjoys a huge ____ in Bangladesh.,ENGLISH-LANGUAGE,D,follow on,fall out,follow,following
"Who wrote the following lines: ""all at once I saw/a crowd, a host of golden daffodils""?",ENGLISH-LITERATURE,A,Wordsworth,Herrick,Shelley,Keats
"What would be the right synonym for ""initiative""?",ENGLISH-LANGUAGE,C,apathy,indolence,enterprise,activity
Which of the following words can be used as a verb?,ENGLISH-LANGUAGE,B,Mister,Master,Mistress,Mastery
Who among the following writers is not a Nobel Laureate?,ENGLISH-LITERATURE,C,T.S. Eliot,Toni Morrison,Grahame Greene,William Faulkner
"The correct passive form of ""You must shut these doors"" is-",ENGLISH-LANGUAGE,D,These must be shut doors,Shut the doors you must,Shut must be the doors,These doors must be shut
The film was directed in the director's usual ___ style.,ENGLISH-LANGUAGE,B,confusion,idiosyncratic,personifying,purifying
"Which word is the determiner in the sentence ""Will it take much time?""",ENGLISH-LANGUAGE,C,will,take,much,time
The play Arms and the Man is by-,ENGLISH-LITERATURE,D,James Joyce,Samuel Beckett,Arthur Miller,George Bernard Shaw
‘He was a rather \(\mathrm{\underline{disagreeable}}\) man.’ Here the underlined word is a/an-,ENGLISH-LANGUAGE,B,Noun,Adjective,Adverb,Preposition
This could have worked if I ____ been more far-sighted.,ENGLISH-LANGUAGE,A,had,have,might,would
The 'climax' of a plot is what happens-,ENGLISH-LANGUAGE,C,in the beginning,at the end,at the height,in the confrontation
"Choose the pair of words that expresses a relationship similar to that of ""Harm : Damage"" -",ENGLISH-LANGUAGE,B,Sweet : Sour,Injure : Incapacitate,Stout : Weak,Hook : Crook
Othello is a Shakespeare's play about -,ENGLISH-LITERATURE,D,A Jew,A Roman,A Turk,A Moor
In the 18th Century the Mughal Empire begun to -,ENGLISH-LANGUAGE,B,discriminate,disintegrate,differentiate,dislocate
"Being fat does not necessarily kill you, but it ____ the risk that you will suffer from nasty diseases",ENGLISH-LANGUAGE,A,increases,emphasizes,encourages,involves
"The poem ""Isle of Innisfree"" is written by -",ENGLISH-LITERATURE,D,Dylan Thomas,Ezra Pound,W.H. Auden,W.B. Yeats
Riders to the Sea is -,ENGLISH-LITERATURE,C,an epic poem,a novella,a one-act play,a theatrical adaptation of a poem
“It is time to review the \(\mathrm{\underline{protocol}}\) on testing nuclear weapons”. Here the underlined word means-,ENGLISH-LANGUAGE,A,Record of rules,Summary of rules,Procedures,Problems
____ amazing song haunted me for a long time.,ENGLISH-LANGUAGE,D,These,Those,Thus,That
\[\mathrm{Let\ us \ beging\ by\ looking\ at\ the\ \underline {minutes}\ of\ the\ meeting.\ } {\mathrm {Here \ the \ underlined\ word\ means}}-\],ENGLISH-LANGUAGE,C,time record,time frame,written record,written analysis
\[\mathrm{The\ noise\ level\ in\ Dhaka\ city\ has\ increased \ \underline {exponentially}.\ {Here\ the\ underlined\ word\ means-}}\],ENGLISH-LANGUAGE,D,amazingly,shockingly,steadily,rapidly
Which of the following writers belong to the Elizabethan period?,ENGLISH-LITERATURE,A,Christopher Marlowe,Alexander Pope,John Dryden,Samuel Beckett
Women are too often ____ by family commitments.,ENGLISH-LANGUAGE,D,confused,controlled,contaminated,constrained
"""To be, or not to be, that is the question"" is a famous dialogue from-",ENGLISH-LITERATURE,C,Othello,Romeo and Juliet,Hamlet,Macbeth
Class relations and societal conflict is the key understanding of-,ENGLISH-LANGUAGE,D,Feminism,Formalism,Structuralism,Marxism
\[\mathrm{Societies\ living\ in\ the\ \underline {periphery} \ are\ always\ ignored}.\ \mathrm {Here\ the\ underlined\ word\ means-}\],ENGLISH-LANGUAGE,B,offshore areas,marginal areas,remote places,backward regions
"The idiom ""A stitch in time saves nine"" refers the importance of-",ENGLISH-LANGUAGE,B,saving lives,timely action,saving time,time tailoring
Which is the correct sentence?,ENGLISH-LANGUAGE,A,He insisted on seeing her,He insisted for seeing her,He insisted in seeing her,He insisted to be seeing her
"The phrase ""nouveau riche"" means-",ENGLISH-LANGUAGE,D,Riche rich,Well off,New high class,New rich
"What would be the best antonym of ""hibernate""?",ENGLISH-LANGUAGE,B,dormancy,liveliness,sluggishness,democracy
\[\mathrm{I\ am\ in\ the\ process\ of\ collecting\ \underline {material} \ for\ my\ story}. \ \mathrm {The\ underlined\ word\ is\ a /an-}\],ENGLISH-LANGUAGE,D,Verb,Adjective,Adverb,Noun
\[\mathrm{Depression\ is\ often\ \underline {hereditary.}\ \mathrm {The\ underlined\ word\ is\ a/an-}}\],ENGLISH-LANGUAGE,B,Adverb,Adjective,Noun,Verb
